Fe,Ni,Co,Cr,Mn,C,Mo,Si,Cu,Al,W,V,Ti,Nb,Tensile Strength: Ultimate (UTS) (psi),compositional_sum_flag
49.5,22.0,0.0,25.0,1.0,0.01,2.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,610.0,PASS
52.65,20.5,0.0,25.0,1.0,0.04,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,600.0,PASS
65.7,6.0,0.0,25.0,1.0,0.015,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,780.0,PASS
51.6,20.5,0.0,24.5,1.0,0.125,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
67.0,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,520.0,PASS
66.45,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.55,580.0,PASS
67.05,12.0,0.0,17.0,1.0,0.07,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
67.0,12.0,0.0,17.0,1.0,0.015,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,530.0,PASS
66.95,12.0,0.0,17.0,1.0,0.015,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
66.9,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,620.0,PASS
66.65,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.35,0.0,580.0,PASS
63.0,13.0,0.0,19.0,1.0,0.04,3.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
63.0,13.0,0.0,19.0,1.0,0.015,3.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,550.0,PASS
59.45,15.5,0.0,19.0,1.0,0.015,4.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
59.900000000000006,15.5,0.0,18.5,1.0,0.015,4.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,620.0,PASS
62.900000000000006,13.0,0.0,19.0,1.0,0.015,3.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,620.0,PASS
69.65,10.5,0.0,18.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.35,0.0,590.0,PASS
69.7,10.5,0.0,18.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.35,0.0,580.0,PASS
68.55,3.5,0.0,25.5,0.5,0.04,1.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,710.0,PASS
59.2,20.0,0.0,19.0,0.5,0.04,0.0,0.5,0.0,0.375,0.0,0.0,0.375,0.0,540.0,PASS
69.05,11.0,0.0,18.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.5,610.0,PASS
69.05,11.0,0.0,18.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.5,580.0,PASS
69.0,11.0,0.0,18.0,1.0,0.0125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.35,590.0,PASS
68.9,11.0,0.1,18.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.5,580.0,PASS
68.69999999999999,11.0,0.1,18.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.66,580.0,PASS
64.45,18.0,0.0,16.0,1.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,480.0,PASS
86.6,0.3,0.0,12.25,0.5,0.075,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,530.0,PASS
85.95,0.375,0.0,12.5,0.5,0.1149999999999999,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,520.0,PASS
86.75,0.0,0.0,12.0,0.5,0.09,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.175,550.0,PASS
